chicago	imp=0.151190	delta=0.393584	score=0.059506
luxury	imp=0.023350	delta=0.317586	score=0.007416
smelled	imp=0.014389	delta=0.405124	score=0.005829
recently	imp=0.012784	delta=0.324180	score=0.004144
turned	imp=0.009525	delta=0.350737	score=0.003341
cleaned	imp=0.010137	delta=0.276621	score=0.002804
cool	imp=0.006832	delta=0.381798	score=0.002608
decided	imp=0.016602	delta=0.150729	score=0.002502
cleanliness	imp=0.007421	delta=0.303417	score=0.002252
sheets	imp=0.010095	delta=0.196873	score=0.001987
experience	imp=0.012104	delta=0.149998	score=0.001816
my	imp=0.007638	delta=0.213472	score=0.001630
rude	imp=0.007213	delta=0.223484	score=0.001612
vacation	imp=0.003554	delta=0.384535	score=0.001367
seemed	imp=0.015204	delta=0.085256	score=0.001296
smell	imp=0.011827	delta=0.104664	score=0.001238
towels	imp=0.003134	delta=0.381090	score=0.001194
was	imp=0.009994	delta=0.109858	score=0.001098
make	imp=0.009816	delta=0.106417	score=0.001045
crowded	imp=0.002598	delta=0.387463	score=0.001007
at	imp=0.004658	delta=0.194565	score=0.000906
finally	imp=0.013080	delta=0.063712	score=0.000833
issues	imp=0.002056	delta=0.391527	score=0.000805
terrible	imp=0.003269	delta=0.245272	score=0.000802
reservations	imp=0.001653	delta=0.474195	score=0.000784
decision	imp=0.001802	delta=0.427338	score=0.000770
not	imp=0.005339	delta=0.142584	score=0.000761
suppose	imp=0.002004	delta=0.376434	score=0.000754
of	imp=0.004403	delta=0.156743	score=0.000690
garbage	imp=0.002593	delta=0.265614	score=0.000689
website	imp=0.003846	delta=0.177589	score=0.000683
like	imp=0.004325	delta=0.143771	score=0.000622
prices	imp=0.006350	delta=0.092730	score=0.000589
within	imp=0.004350	delta=0.130847	score=0.000569
wife	imp=0.002112	delta=0.253790	score=0.000536
cleaning	imp=0.003129	delta=0.152883	score=0.000478
hotel	imp=0.003165	delta=0.147813	score=0.000468
found	imp=0.001831	delta=0.244594	score=0.000448
travelling	imp=0.002111	delta=0.210775	score=0.000445
seems	imp=0.003598	delta=0.122510	score=0.000441
have	imp=0.005508	delta=0.079442	score=0.000438
expected	imp=0.003750	delta=0.115732	score=0.000434
arrangements	imp=0.001043	delta=0.403442	score=0.000421
wait	imp=0.002910	delta=0.142116	score=0.000414
when	imp=0.004211	delta=0.092178	score=0.000388
looks	imp=0.002277	delta=0.158575	score=0.000361
smaller	imp=0.001087	delta=0.324847	score=0.000353
basic	imp=0.000645	delta=0.529107	score=0.000341
definitely	imp=0.001829	delta=0.167179	score=0.000306
clerk	imp=0.001188	delta=0.242308	score=0.000288
